JobID	GroupID	Title	Description	Requirements	City	State	Country	Zip5	StartDate	EndDate
15	1	Administrative Assistant	This Administrative Assistant position is responsible for performing a variety of clerical and administrative support functions in the areas of communications, data entry and retrieval, typing, filing, copying, and coordination of related administrative activities. \r\n\r\nJOB REQUIREMENTS:\r\nAttention to detail\r\nAbility to work in a fast paced environment\r\nInvoicing\r\nProficient in Word, Excel and Outlook\r\nOther Administrative responsibilities as needed.\r\n\r\nQUALIFICATIONS:\r\nHigh School Diploma\r\nAdministrative Assistant Experience\r\n1-2 Years work experience\r\nWorking knowledge of all basic office machines (fax, copier, 10key, etc.)\r\nStrong verbal and written communication skills\r\nStrong work ethic.	Please refer to the Job Description to view the requirements for this job	Los Angeles	CA	US	90011	2012-03-09 01:12:16.81	2012-04-08 23:59:59
16	1	ACCOUNT EXECUTIVES	<b>    <b>ACCOUNT EXECUTIVES</b> </b>  ââ  Immd openings, exciting opportunities if you have very strong phone skills. Opportunity for X-financial sales, X-stock brokers, X-equity fund pros, 3 yr old comp., great track record. Strong back office support, strong sales support, very high earning potential, $100K plus. Ask for Mr. Paul 866-979-0026                WEB OS15146              <p>                 \n                \n                 <br><br>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Longwood	FL	US	32779	2012-03-08 05:09:42.803	2012-04-07 23:59:59
17	1	COMMERCIAL ESTIMATOR	<b>    <b>TRI-CITY ELECTRICAL CONTRACTORS, INC  </b> </b>   seeking               \r\n <b>Experienced Commercial Estimator </b> \r\n \r\n              Full-time for Central Florida area.                \r\n              Accubid experience a plus.               \r\n \r\n              Fax resume to 407-788-9523               \r\n              or email to:                 <b> <a href="mailto:info@tcelectric.com">info@tcelectric.com</a></b> \r\n              by 3/16/2012               \r\n \r\n <b>EOE M/F/D/V, a Drug free Workplace</b> \r\n               WEB OS21108               <p>                 \n                \n                 <br><br>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Altamonte Springs	FL	US	32714	2012-03-08 11:07:05.733	2012-04-07 23:59:59
18	1	Immediate Opening	Immediate Opening - AR Clerk is needed  foward resumes to hr.wallsfurniture@aol.com hr.wallsfurniture@aol.com WEB OS69883<P>Accounts Receivable/Cash Applications Clerk is needed,candidates Must have advanced knowledge of computers and peripheral office devices.For immediate consideration candidates should foward resumes to : hr.wallsfurniture@aol.com                 \n                \n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US	32819	2012-03-10 01:13:29.223	2012-04-09 23:59:59
19	1	TESL Adjunct	TESL Adjunct - The Embry-Riddle Language Institute is seeking a part time adjunct for the summer 2012 term (May-Aug). Applicants must have Masters degree in ESL or Linguistics, be TESL certified and have at least 2 years teaching experience in TESL. Please send your CV and daytime availability to mcallisp@erau.edu or by fax 386-226-6165. mcallisp@erau.edu WEB OS69895<P>The Embry-Riddle Language Institute is seeking a part time adjunct for the summer 2012 term (May-Aug). Applicants must have Masters degree in ESL or Linguistics, be TESL certified and have at least 2 years teaching experience in TESL. Please send your CV and daytime availability to mcallisp@erau.edu or by fax 386-226-6165.                 \n                \n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Daytona Beach	FL	US	32114	2012-03-10 01:13:30.193	2012-04-09 23:59:59
20	1	Salon Manager/Hairstylists	Salon Manager/Hairstylists - Macys Oviedo Mall tinarncn@gmail.com 8007895478 ext171 WEB OS69939<P>Salon manager/ Hairstylists needed for full service salon located inside Macys at the Oviedo Mall.  3 years experience in salon management with a proven track record of growing a business . Places high priority on guest services and is a role model for others to follow.  Candidate must have  strong leadership skills, great follow through and a polish and professional image. Must have a valid Florida Cosmetologist License and be willing to do services behind the chair. Must have the ability to build strong relationships with store personnel .  Full benefit package including vacation, holiday and 401K plan.  Interviews will be conducted March 20-23 contact Tina at 1-800-789-5478 ext 171 or email resume to tinarncn@gmail.com.                 \n                \n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Oviedo	FL	US	32765	2012-03-10 01:13:29.93	2012-04-09 23:59:59
21	1	VOCATIONAL COUNSELOR	<b>    <b>VOCATIONAL COUNSELOR</b> </b>  ââ  Rehab Co., p-t, w/ CRC, Masters w/Core Intrnshp & testing req. Resume: <a href="mailto:rehabadvisors@bellsouth.net">rehabadvisors@bellsouth.net</a>                 WEB OS24490              <P>                 \r\n                \r\n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US	32804	2012-03-09 16:21:56.203	2012-04-08 23:59:59
22	1	GALLERY SALES POSITIONS	<b>    <b>         GALLERY SALES POSITIONS                   </b> </b>  ââ               \r\n \r\n              This is an exciting time for our company, and we need a dedicated, enthusiastic person to help us grow! We are a high end art gallery and art auction company based in Orlando. If you are someone who thrives on challenges, tenacious, have great selling and networking skills and believes he or she can positively impact our business, then we invite you to apply to be a part of our team! We value teamwork, positive attitude and ability to learn, along with personal motivation and drive. You must have the right combination to fit into this exceptionally progressive, forward-thinking and hard-driven company.              \r\n \r\n               The ideal candidate must possess the following skills, qualifications, and characteristics:              \r\n \r\n              â¢ Well-spoken, engaging and have a positive attitude                            \r\n              â¢ Must be very presentable in person, i.e. well dressed, smart, able to look the part.                            \r\n              â¢ Personable and energetic                            \r\n              â¢ Highly responsible and trustworthy                           \r\n              â¢ Extremely out-going and have a no-fear attitude meeting and/or cold-calling high-end businesses/organizations                           \r\n              â¢ Ability to get along and interact well with all types of personalities                           \r\n \r\n               Not necessary but a plus:              \r\n               * Connections/contacts               \r\n              * Prior art gallery sales and auction experience               \r\n \r\n              He or she should not be limited to selling in the gallery but more importantly, capable of marketing, networking, customer service and have a positive approach in looking for other clients/customers.               \r\n \r\n              He or she is expected to have excellent work ethics.               \r\n \r\n              Detailed progress reports are required to be submitted to management on a regular basis.               \r\n \r\n              Additional training in various aspects of the job will also be provided.               \r\n \r\n              Minimum base salary + above-industry commission Performance evaluations will be made on a regular basis. Tremendous growth opportunities within the company.              \r\n \r\n               TO APPLY:              \r\n \r\n              â¢ Please email resume with your reply                            \r\n              â¢ Include current headshot and full body photo/s                            \r\n \r\n              Interview will be scheduled as soon as possible. And for the ideal candidate, employment will commence immediately.               \r\n \r\n              <a href="mailto:info@baterbys.com">info@baterbys.com</a>               \r\n \r\n              or Call Hal M-F at 888-682-9995 to schedule an interview.               \r\n               WEB OS28109              <P>                 \n                \n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US	32819	2012-03-09 16:51:56.403	2012-04-08 23:59:59
23	1	SURGICAL SCRUB TECH	<b>    <b> SURGICAL SCRUB TECH </b> </b>  ââ Vascular Lab Altamonte,FT,M-F,Interventional Radiology Tech exp a +,exc benefits fax 407.309.5433 or                 <b> <a href="mailto:HRDirector@nacfla.com">HRDirector@nacfla.com</a></b>   WEB OS24839              <P>                 \r\n                \r\n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Altamonte Springs	FL	US	32701	2012-03-09 17:06:45.98	2012-04-08 23:59:59
24	1	Real Estate Agent	Now accepting Seasoned Agents who want to earn a lifetime of residual income. Come onboard in the next 30 days, bring one or more agents along and receive 5% of their sales as long as you both remain with us.  Our agents earn between 70-85%, plus the 5%, plus spiffs, plus bonuses. You pay NO Desk Fees, NO Monthly Fees and NO Lead Fees. Our agents earn more, they have more leads and we provide more opportunities. Be a part of something Big. What have you got to lose.<P>Now accepting Seasoned Agents who want to earn a lifetime of residual income. Come onboard in the next 30 days, bring one or more agents along and receive 5% of their sales as long as you both remain with us.  Our agents earn between 70-85%, plus the 5%, plus spiffs, plus bonuses. You pay NO Desk Fees, NO Monthly Fees and NO Lead Fees. Our agents earn more, they have more leads and we provide more opportunities. Be a part of something Big. What have you got to lose.                 \n                \n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Windermere	FL	US	34786	2012-03-10 01:13:30.43	2012-04-09 23:59:59
25	1	LPN, RN, CNA, TECHS	<b>    <b> LPN, RN, CNA, TECHS</b> </b>  ââ  LifeStream is looking for dynamic individuals to join the psychiatric hospital team. Desired individuals will be motivated to work with children, adults and geriatrics. Apply online at <a href="http://www.lsbc.net">www.lsbc.net</a> or at 515 W. Main St. DFWP/EOE                WEB OS21104              <P>                 \r\n                \r\n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Leesburg	FL	US	34749	2012-03-10 05:10:01.203	2012-04-09 23:59:59
26	1	Vacation Sales Representatives	WYNDAHAM VACATION OWNERSHIP Vacation Sales Representatives If you are a driven, money-motivated sales professional, come join us! Sell discounted, funfilled vacation packages to referrals, past guests and owners and experience unlimited earning potential! Telephone sales experience is required Now Hiring for All Shifts Interviewing on Wednesday, March 14th. Call now to schedule your interview! 407-967-4820 ? Salary + commission ? Benefits effective within 30 days ? Average Rep earns $25/hr/$600-$1500 per wk! ? Warm leads (no cold calling) ? Contests and incentives ? Paid training Apply online at Wyndham.Jobs JOB CODE #1201344 EOE People Make the Difference <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US		2012-03-10 09:01:14.077	2012-04-09 23:59:59
27	1	Top Sales Agent	WANTED TOP SALES AGENT With a Dream to build a company and earn in excess of $250,000/year. WE OFFER A US-Made,World-renown, Patented Industrial Maintenance Tool line Intimidated Competitors An almost Recession-proof Marketplace ANo-lid-on-top Commission Income An Investment-Free Opportunity? And PROOF! WE EXPECT An Award-Winner in Sales with proof A Can-do,Winning Attitude Self-Confidence Self-Motivation Self-Discipline Enormous Bite and Stay-in Power Contact: DreamSalesOpportunity@gmail.com <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US		2012-03-10 09:01:15.793	2012-04-09 23:59:59
28	1	Quick Service Food & Beverage	I love making his day a little sweeter.  I am Disney.  Dreams. That's what you'll find at the Walt Disney World Resort.  There are many guest service and entertainment roles in which our  cast members bring Disney dreams to life. From our enchanted  Theme Parks and world-class Resort Hotels to our spectacular shows  and beloved characters, Walt Disney World Resort cast members have a  world of opportunity and take pride in turning dreams into realities.  Opportunities currently available:  Quick Service Food and Beverage  Housekeeping * Bus Drivers  Custodial  Recreation * Stewards * Culinary * Lifeguards  Character Look alike Performers  For more information and to apply online, visit  WaltDisneyWorld.jobs  Apply  online today!  Walt Disney World EOE ? Drawing Creativity from Diversity Disney   <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US		2012-03-10 09:01:17.68	2012-04-09 23:59:59
29	1	CREDIT/COLLECTIONS ASSISTANT	<b>     </b> \r\n <b>    <b>   CREDIT/COLLECTIONS ASSISTANT                         </b> </b> \r\n               Full-time for large, well-established contractor. Skills required include basic clerical, MS Office applications, good communications & phone skills. Knowledge of Fla lien laws helpful.               \r\n               Fax resume to: 407-788-9523               \r\n               or email to:                \r\n              <a href="mailto:collectionsassistant@yahoo.com">collectionsassistant@yahoo.com</a> By 3/21/12                \r\n              EOE/M/F/D/V,                \r\n              A Drug Free Workplace.  WEB OS21091              <P>                 \n                \n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US	32801	2012-03-11 05:09:54.35	2012-04-10 23:59:59
30	1	POOL TECH	<b>    <b>POOL TECH</b> </b>  ââ  Immediate FT opening MUST HAVE pool exp! Clean DL, 20+ yr Orlando Co. Email resumes/applic: <a href="mailto:gilmanpools@cfl.rr.com">gilmanpools@cfl.rr.com</a>                WEB OS26846              <P>                 \n                \n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US	32805	2012-03-12 10:51:41.033	2012-04-11 23:59:59
31	1	EXPERIENCED ROOFERS	<b>    <b>EXPERIENCED ROOFERS</b> </b>  ââ  Needed immediately Mon-Fri. Apply in person at 4495 35th St. Orlando, FL. 32811.                 WEB OS18414              <P>                 \n                \n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US	32811	2012-03-12 16:06:57.6	2012-04-11 23:59:59
32	1	ARIZA TALENT & MODELING	<b>     </b> \r\n <b>    <b>ARIZA TALENT & MODELING   </b> </b> \r\n <b>     </b> \r\n <b>     </b> \r\n <b>     </b>   Florida's Leading Source                 \r\n               for Multicultural Talent                  \r\n              Earn up to $500 daily in                \r\n              â¢ Fashion                    â¢ Lifestyle                                  \r\n              â¢ Catalog                    â¢ TV                    â¢ Film                                 \r\n \r\n              Jump Start Your                 \r\n              Acting/Modeling Career.                \r\n              New Projects Daily.                \r\n \r\n              Est 1986 Lic. TA1066.               \r\n \r\n              Call 407-332-0011 Today!               \r\n              <a href="http://www.arizatalent.com">www.arizatalent.com</a>               \r\n                  WEB OS22436              <P>                 \n                \n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Longwood	FL	US	32750	2012-03-12 16:21:55.063	2012-04-11 23:59:59
33	1	CDL CLASS A DRIVER	<b>    <b>CDL CLASS A DRIVER</b> </b>  ââ  Need a medical card, insurance avail, currently weekly bonuses, pay equals $0.30 per mile, additional revenue drop/stop pay, paid for rack retrieval, at least 1 yr exp. 3-4 day runs on average. Call 407-886-1188 ext. 229 or                           \r\n              fax 407-889-7989                WEB OS22359              <P>                 \n                \n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Apopka	FL	US	32703	2012-03-12 16:36:54.783	2012-04-11 23:59:59
34	1	Skilled Tradesman	Skilled Tradesman - Experience in ALL of the following: comm. finishing, carpentry, drywall, paint, must have valid driver?s license.  407-264-0100 WEB OS58576<P>Experienced tradesmen with skills in commercial finish work, carpentry, drywall, paint, and misc. construction skills.Experience in all fields required. Must have valid FL Driver's License.                 \n                \n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US	32819	2012-03-13 01:15:08.073	2012-04-12 23:59:59
35	1	Automotive Retail Dealer	<b>    <b>HEADQUARTER HONDA </b> </b> \r\n              In Clermont FL is looking for               \r\n               Experienced Sales Associates, Internet Sales Manager, Finance Manager,Tire & Lube Technicians, Experienced Technicians, Shuttle Van Driver and Parts Delivery Driver\r\n             \r\nSend resume to hr@headquarterhonda.com</a>               \r\n               DFWP/EEO                \r\n                WEB OS14871              <P>                 \r\n                \r\n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Clermont	FL	US	34711	2012-03-13 14:36:52.997	2012-04-12 23:59:59
36	1	DRIVERS	<b>    <b>DRIVERS </b> </b>  ââ McTyre Trucking. M                     ust have oversize load exp. Class A CDL 3yrs. Benefits. Drug free. Call M-F, 8 am -5 pm:  407-859-8881                       WEB OS15317              <P>                 \n                \n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Orlando	FL	US	32859	2012-03-13 16:51:56.89	2012-04-12 23:59:59
37	1	RN & LPN OPENINGS AT TUSKAWILLA SNF	<b>    <b>RN & LPN OPENINGS AT TUSKAWILLA SNF</b> </b>  ââ  Great competitive pay. Bring a current FL License. 8 hour shifts. Apply in person at 1024 Willa Springs Dr. Winter Springs, FL 32708 or fax resume to 407-699-8269. An EEO/AA employer M/F/V/D                WEB OS26252              <P>                 \n                \n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Winter Springs	FL	US	32708	2012-03-13 17:06:56.513	2012-04-12 23:59:59
38	1	CNA OPENINGS AT TUSKAWILLA SNF	<b>    <b>CNA OPENINGS AT TUSKAWILLA SNF</b> </b>  ââ  All shifts. Apply in person at 1024 Willa Springs Dr, Winter Springs, FL 32708. Bring active FL Cert. An EEOC Employer. M/F/V/D                WEB OS18800              <P>                 \n                \n                 <BR><BR>Source - Orlando Sentinel	Please refer to the Job Description to view the requirements for this job	Winter Springs	FL	US	32708	2012-03-13 17:21:51.527	2012-04-12 23:59:59
